edge_times[0], 0x6082,
edge_times[1], 0x3555,
edge_times[2], 0x1978,
edge_times[3], 0x03BD,
edge_times[4], 0x026F,
edge_times[5], 0x0384,
edge_times[6], 0x0270,
edge_times[7], 0x0385,
edge_times[8], 0x08E5,
edge_times[9], 0x0388,
edge_times[10], 0x026F,
edge_times[11], 0x035D,
edge_times[12], 0x090C,
edge_times[13], 0x0361,
edge_times[14], 0x026F,
edge_times[15], 0x0385,
edge_times[16], 0x026E,
edge_times[17], 0x0384,
edge_times[18], 0x0270,
edge_times[19], 0x0384,
edge_times[20], 0x08E6,
edge_times[21], 0x0388,
edge_times[22], 0x08E7,
edge_times[23], 0x0387,
edge_times[24], 0x0270,
edge_times[25], 0x035C,
edge_times[26], 0x090F,
edge_times[27], 0x0360,
edge_times[28], 0x026E,
edge_times[29], 0x035F,
edge_times[30], 0x090B,
edge_times[31], 0x0388,
edge_times[32], 0x08E4,
edge_times[33], 0x0389,
edge_times[34], 0x08E6,
edge_times[35], 0x0388,
edge_times[36], 0x026F,
edge_times[37], 0x0383,
edge_times[38], 0x08E7,
edge_times[39], 0x0387,
edge_times[40], 0x026F,
edge_times[41], 0x035D,
edge_times[42], 0x026E,
edge_times[43], 0x0384,
edge_times[44], 0x026F,
edge_times[45], 0x0384,
edge_times[46], 0x026E,
edge_times[47], 0x035D,
edge_times[48], 0x026F,
edge_times[49], 0x0384,
edge_times[50], 0x026E,
edge_times[51], 0x0384,
edge_times[52], 0x08E5,
edge_times[53], 0x0388,
edge_times[54], 0x026F,
edge_times[55], 0x035C,
edge_times[56], 0x090E,
edge_times[57], 0x035F,
edge_times[58], 0x090D,
edge_times[59], 0x0360,
edge_times[60], 0x090D,
edge_times[61], 0x0361,
edge_times[62], 0x090C,
edge_times[63], 0x0360,
edge_times[64], 0x090D,
edge_times[65], 0x0360,
edge_times[66], 0x090B,
edge_times[67], 0x0361,
edge_times[68], 0x0000,
edge_times[69], 0x0000,
